GEO,year,Total_Population,Population_0_14,Population_15_more,labour_force,inactive_adults,employment,unemployment,parttime,fulltime
New Brunswick,1992,748121.0,101436.0,646685.0,380411.6912261533,266273.3087738467,331165.86473353556,49245.82649261772,55832.75360000227,275333.1111335333
New Brunswick,1993,748812.0,100803.0,648009.0,382201.0139707988,265807.9860292012,333818.3208130547,48382.6931577441,57587.5100207704,276230.8107922843
New Brunswick,1994,750185.0,100012.0,650173.0,379598.068792042,270574.931207958,331757.9821571086,47840.08663493334,56778.55428304646,274979.42787406215
New Brunswick,1995,750943.0,98338.0,652605.0,385757.7857173269,266847.2142826731,341561.10008089355,44196.68563643332,57508.823125586896,284052.27695530665
New Brunswick,1996,752268.0,96533.0,655735.0,385111.26555723517,270623.73444276483,339970.25583793636,45141.00971929882,58637.921511011904,281332.3343269244
New Brunswick,1997,752511.0,94438.0,658073.0,393605.62740989693,264467.37259010307,344208.2784863527,49397.34892354421,58267.14507456015,285941.13341179263
New Brunswick,1998,750530.0,92179.0,658351.0,398978.48478511075,259372.51521488925,350650.4982314797,48327.986553631046,56596.77194233722,294053.72628914245
New Brunswick,1999,750601.0,90273.0,660328.0,401729.5524409009,258598.44755909912,361226.84884599247,40502.703594908395,58541.87808085045,302684.97076514194
New Brunswick,2000,750517.0,88749.0,661768.0,407815.54407667444,253952.45592332556,366902.1597013262,40913.38437534827,56428.75749470634,310473.40220661985
New Brunswick,2001,749823.0,87104.0,662719.0,410964.97109906905,251754.02890093095,365061.7584410171,45903.21265805195,54669.483159649855,310392.27528136724
New Brunswick,2002,749375.0,85902.0,663473.0,419923.1119210621,243549.8880789379,377167.6385154799,42755.47340558219,59482.12910009117,317685.50941538875
New Brunswick,2003,749444.0,84872.0,664572.0,418627.30878656456,245944.69121343544,376122.08916388144,42505.21962268315,58568.86746436448,317553.22169951693
New Brunswick,2004,749424.0,83913.0,665511.0,424552.4906024096,240958.50939759042,383160.22640963853,41392.26419277106,61352.188745157604,321808.0376644809
New Brunswick,2005,748061.0,81995.0,666066.0,421610.81632148207,244455.18367851793,380820.9905034151,40789.82581806694,62905.673927683005,317915.3165757321
New Brunswick,2006,745621.0,79946.0,665675.0,422676.0520133536,242998.94798664638,383863.5295168226,38812.52249653103,62701.45947078683,321162.07004603575
New Brunswick,2007,745430.0,78928.0,666502.0,425467.63809863303,241034.36190136697,392470.1372143082,32997.5008843248,63436.34758764412,329033.7896266641
New Brunswick,2008,746875.0,78218.0,668657.0,433913.6734652087,234743.32653479133,396387.2379626217,37526.43550258703,62933.38903123564,333453.8489313861
New Brunswick,2009,749956.0,77592.0,672364.0,435199.6944708341,237164.3055291659,396645.6663499905,38554.0281208436,64130.52689582527,332515.13945416524
New Brunswick,2010,753034.0,77305.0,675729.0,434605.623869923,241123.376130077,393511.1615436513,41094.4623262717,60925.936823640535,332585.22472001077
New Brunswick,2011,755590.0,76369.0,679221.0,432123.82729468594,247097.17270531406,390470.04347826086,41653.78381642508,64566.415069676244,325903.6284085846
New Brunswick,2012,758121.0,75952.0,682169.0,434264.1603709296,247904.83962907043,388579.00920642976,45685.15116449984,61072.96351505032,327506.04569137946
New Brunswick,2013,758261.0,74784.0,683477.0,436648.39238041895,246828.60761958105,390822.5952047579,45825.797175661064,62779.525087928465,328043.0701168294
New Brunswick,2014,758657.0,73940.0,684717.0,434104.30789809936,250612.69210190064,390705.7246845552,43398.58321354415,62318.25115796199,328387.4735265932
New Brunswick,2015,759226.0,72649.0,686577.0,431809.60614881566,254767.39385118434,388844.9290613287,42964.677087486976,59981.64133017561,328863.287731153
New Brunswick,2016,763322.0,72727.0,690595.0,434419.2021797212,256175.7978202788,392064.243380155,42354.95879956616,63033.15962087527,329031.0837592798
